ncbi_name,microbiome,microbiome_subtract,RA
Anaerococcus,g__Anaerococcus,,13.59307692
Fusobacterium,"g__Fusobacterium
s__Stomatobaculum_naviforme",,12.76846154
Bacteroides,"g__Bacteroides
s__Barnesiella_intestinihominis
s__CAG-462_sp900291465",s__Bacteroides_sartorii,8.192307692
Escherichia/Shigella,g__Escherichia,,8.179230769
Finegoldia,g__Finegoldia,,4.336923077
Porphyromonas,"g__Porphyromonas
s__Bacteroides_sartorii",,2.842307692
Collinsella,"g__Collinsella
s__An7_sp002159335
s__An7_sp002159765",,3.850769231
Lactobacillus,g__Lactobacillus,,2.803076923
Ruminococcus_gnavus_group,s__Faecalicatena_gnavus,,4.150769231
Peptostreptococcus,g__Peptostreptococcus,,2.813846154
Prevotella,"g__Prevotella
s__Dysgonomonas_sp000711235
s__Prevotellamassilia_sp002933955",,4.271538462
Helicobacter,"g__Helicobacter
s__NHYM01_sp003288815
s__NHYN01_sp003288845",,1.81
Peptoclostridium,"g__Peptoclostridium
s__Clostridium_hiranonis",,2.921538462
Blautia,"g__Blautia
s__Ruminococcus_sp003011855
s__Fusicatenibacter_saccharivorans
s__Ruminococcus_sp000437095",,2.159230769
Peptoniphilus,"g__Peptoniphilus
s__Urinacoccus_sp000221565",,2.513076923
Parabacteroides,"g__Parabacteroides
s__Marseille-P3160_sp900162725
s__OLMS01_sp900292045",,1.381538462
Clostridium,"g__Clostridium
s__Coprococcus_sp000154245
s__Ruminiclostridium_sp000244875
s__Eubacterium_sp000270305
s__Hungatella_sp000526575
s__Anaerocolumna_sp000702945
s__Khelaifiella_sp000744935
s__CAG-306_sp000980375
s__Coprococcus_sp900066115
s__TF01-11_sp001414325
s__MS4_sp000752215
s__CAG-217_sp000436335
s__Lachnoclostridium_sp900078195
s__Dorea_sp900086625
s__Faecalicatena_sp900120155
s__Flavonifractor_sp900199495
s__CAG-81_sp900066785
s__Absiella_innocuum
s__Bittarella_massiliensis
s__Hungatella_guttoideum
s__Lawsonibacter_asaccharolyticus
s__GCA-900066995_sp900291955",s__Clostridium_hiranonis,2.33
Streptococcus,g__Streptococcus,,1.166153846
Sutterella,g__Sutterella,,1.254615385
Anaerobiospirillum,g__Anaerobiospirillum,,1.495384615
Roseburia,g__Roseburia,,0.708461539
Megamonas,g__Megamonas,,1.046923077
Staphylococcus,g__Staphylococcus,,0.745384615
Enterococcus,"g__Enterococcus
s__Vagococcus_sp002140795",,0.82
Alloprevotella,"g__Alloprevotella
s__RUG210_sp003265305",,1.086923077
